Restaurant Name,Owner/Manager Name,Email,Website URL
"Mamoun's Falafel","","feedback@mamouns.com","https://www.mamouns.com"
"Superiority Burger","","info@superiorityburger.com","https://www.superiorityburger.com"
"John's of Bleecker Street","","johnspizzeria@gmail.com","https://www.johnsbrickovenpizza.com"
"Buvette","","hello@ilovebuvette.com","https://ilovebuvette.com"
"Lolo's Seafood Shack","","lolosseafoodshack@gmail.com","https://www.lolosseafoodshack.com"
"Oso Harlem","","info@osoharlem.com","https://www.osoharlem.com"
"Manhattanville Coffee","","contact@manhattanvillecoffee.com","https://www.manhattanvillecoffee.com"
"Mess Hall","","info@messhallkitchen.com","https://www.messhallkitchen.com"
"Alleva Dairy","","allevadairy@gmail.com","https://www.allevadairy.com"
"Cho Dang Gol","","cdgny35@gmail.com","https://www.chodanggolnyc.com"
"Keens Steakhouse","","info@keens.com","https://www.keens.com"
"Uncle Boons Sister","","info@uncleboons.com","https://www.uncleboons.com"
"Cafe Habana","","info@cafehabana.com","https://www.cafehabana.com"
"Thai Diner","","hello@thaidiner.com","https://www.thaidiner.com"
"Tacombi","","pr@tacombi.com","https://www.tacombi.com"
"Lilia","","info@lilianewyork.com","https://www.lilianewyork.com"
"Misi","","info@misinewyork.com","https://www.misinewyork.com"
"al di la Trattoria","","info@aldilatrattoria.com","https://www.aldilatrattoria.com"
"Bogota Latin Bistro","","elena@mghospitalitygroup.com","https://www.bogotabistro.com"
"Runner & Stone","","info@runnerandstone.com","https://www.runnerandstone.com"
"Roberta's","","info@robertaspizza.com","https://www.robertaspizza.com"
"Hometown BBQ","","info@hometownbbq.com","https://www.hometownbbq.com"
"Court Street Grocers","","hello@courtstreetgrocers.com","https://www.courtstreetgrocers.com"
"Peter Pan Donut","","bakery@peterpandonuts.com","https://www.peterpandonuts.com"
"Juliana's Pizza","","merchandise@julianaspizza.com","https://www.julianaspizza.com"
"Brooklyn Beso","","besomanager.23@gmail.com","https://www.brooklynbeso.com"
"Pio Pio","","info@piopio.com","https://www.piopio.com"
"Mike's Deli","","mymail@mailservice.com","https://www.arthuravenue.com"
